user_id,age,age_group,gender,married,has_children,home_country,home_city,home_airport_lat,home_airport_lon,destination_airport_lat,destination_airport_lon,destinations,avg_session_time,discount_flight_proportion,discount_hotel_proportion,avg_flight_discount,avg_hotel_discount,flight_book_count,hotel_book_count,avg_page_clicks,cancellation_count,destinations,mdn_seats,mdn_checked_bags,airlines,avg_base_fare_usd,hotel_names,mdn_nights,mdn_rooms,avg_hotel_per_room_usd,season_purchase_made,avg_booking_lead_time,season_departure_time,avg_haversine_distance,trip_types,scaled_ADS_per_km,bargain_hunter_index,free_hotel_meal,free_checked_bag,no_cancellation_fee,exclusive_discounts,1_night_free_hotel_with_flight,early_booking_discount
94883,51,36-55,F,True,False,usa,kansas city,39.297,-94.714,43.862,-79.37,['toronto'],0 days 00:02:40,0.0,0.0,0.0,0.0,1,1,21,0,['toronto'],1,1,['United Airlines'],241,['Hilton - toronto'],1,1,130,Spring,8.0,Spring,1371.0,International,0.18527111797055013,0.0,0,1,0,0,0,0
101486,51,36-55,F,True,True,usa,tacoma,47.138,-122.476,53.667,-113.467,['edmonton'],0 days 00:02:38,0.0,0.0,0.0,0.0,1,1,21,0,['edmonton'],1,0,['United Airlines'],190,['Crowne Plaza - edmonton'],3,1,253,Summer,9.0,Summer,965.0,International,0.2164382976996292,0.0,0,0,0,0,0,0
101961,43,36-55,F,True,False,usa,boston,42.364,-71.005,45.517,-73.417,"['montreal', 'hamilton', 'new york', 'charlotte']",0 days 00:02:27.500000,0.25,0.0,0.025,0.0,4,4,20,0,"['montreal', 'hamilton', 'new york', 'charlotte']",1,0,"['United Airlines', 'Air New Zealand', 'Allegiant Air', 'JetBlue Airways']",118,"['Rosewood - montreal', 'Accor - hamilton', 'Conrad  - new york', 'Banyan Tree  - charlotte']",4,1,137,Winter/Spring/Summer,6.0,Winter/Spring/Summer,651.0,International,0.18666506519455284,0.0011666566574659552,0,0,0,0,1,0
118043,51,36-55,F,False,True,usa,los angeles,33.942,-118.408,31.849,-106.38,['el paso'],0 days 00:06:25,0.0,0.0,0.0,0.0,1,1,51,0,['el paso'],2,1,['American Airlines'],436,['Fairmont - el paso'],1,2,194,Summer,9.0,Summer,1146.0,International,0.48749066128068674,0.0,0,1,0,0,0,0
120851,51,36-55,F,True,True,usa,santa ana,33.676,-117.868,53.667,-113.467,['edmonton'],0 days 00:02:09,0.0,0.0,0.0,0.0,1,1,17,0,['edmonton'],1,0,['Delta Air Lines'],385,['Best Western - edmonton'],11,1,182,Spring,7.0,Spring,2250.0,International,0.17837088481520363,0.0,0,0,0,0,0,0
125845,40,36-55,F,True,False,usa,el paso,31.849,-106.38,45.323,-75.669,"['ottawa', 'new york']",0 days 00:04:38,0.0,0.0,0.0,0.0,2,2,38,0,"['ottawa', 'new york']",1,0,"['WestJet', 'Delta Air Lines']",521,"['Four Seasons - ottawa', 'Hilton - new york']",2,1,88,Spring/Summer,8.0,Spring/Summer,3048.0,International,0.17810604899656057,0.0,0,0,0,0,0,0
133058,18,Under 18,F,False,False,usa,austin,30.194,-97.67,45.517,-73.417,['montreal'],0 days 00:02:19,0.0,0.0,0.0,0.0,1,0,19,0,['montreal'],1,0,['United Airlines'],424,['nan'],0,0,0,Spring,6.0,Spring,2708.0,International,0.15690377442462633,0.0,0,0,0,0,0,0
149058,50,36-55,F,False,True,usa,birmingham,33.563,-86.753,33.942,-118.408,"['los angeles', 'new york', 'san antonio', 'austin']",0 days 00:03:03.500000,0.25,0.0,0.0125,0.0,4,4,25,0,"['los angeles', 'new york', 'san antonio', 'austin']",1,0,"['Ryanair', 'Delta Air Lines', 'United Airlines', 'Alaska Airlines']",337,"['Accor - los angeles', 'InterContinental  - new york', 'Shangri-La - san antonio', 'Fairmont - austin']",4,1,109,Winter/Spring,6.0,Winter/Spring,1646.0,International,0.22424716427167773,0.0007007723883489929,0,0,0,0,1,0
152583,37,36-55,F,False,False,usa,colorado springs,38.806,-104.7,43.862,-79.37,['toronto'],0 days 00:03:35,0.0,0.0,0.0,0.0,1,1,29,0,['toronto'],1,2,['WestJet'],368,['Radisson  - toronto'],2,1,213,Summer,8.0,Summer,2179.0,International,0.17508348078352992,0.0,0,1,0,0,0,0
153982,45,36-55,F,False,True,canada,toronto,43.862,-79.37,40.64,-73.779,"['new york', 'baltimore']",0 days 00:05:32,0.0,0.0,0.0,0.0,2,2,45,0,"['new york', 'baltimore']",1,0,"['Spirit Airlines', 'Spirit Airlines']",103,"['Hyatt - new york', 'Banyan Tree  - baltimore']",2,1,90,Winter/Summer,8.0,Winter/Summer,575.0,International,0.19021238795122347,0.0,0,0,0,0,0,0
